Wikidata label,wikidata ID,Project Gutenberg ID,Project Gutenberg title,
The Night Land,Q3824593,10662,The Night Land,
History of Rome (Mommsen),Q1500229,10701,"The History of Rome, Book I\•The Period Anterior to the Abolition of the Monarchy",
History of Rome (Mommsen),Q1500229,10702,"The History of Rome, Book II\•From the Abolition of the Monarchy in Rome to the Union of Italy",
History of Rome (Mommsen),Q1500229,10703,"The History of Rome, Book III\•From the Union of Italy to the Subjugation of Carthage and the Greek States",
History of Rome (Mommsen),Q1500229,10704,"The History of Rome, Book IV\•The Revolution",
History of Rome (Mommsen),Q1500229,10705,"The History of Rome, Book V\•The Establishment of the Military Monarchy",
White-Jacket,Q1431433,10712,"White Jacket; Or, The World on a Man-of-War",
Doctor Pascal,Q663632,10720,Doctor Pascal,
The Way of Peace,Q7773905,10740,The Way of Peace,
Moonfleet,Q1795631,10743,Moonfleet,
The Anatomy of Melancholy,Q469755,10800,The Anatomy of Melancholy,
The Sword of Welleran and Other Stories,Q7767777,10806,The Sword of Welleran and Other Stories,
"Carnacki, the Ghost-Finder",Q5043764,10832,"Carnacki, the Ghost Finder",
Paul et Virginie,Q2293012,10859,Paul and Virginia from the French of J.B.H. de Saint Pierre,
Clérambault (novel),Q5137296,10868,Clerambault: The Story of an Independent Spirit During the War,
The Wonderful Adventures of Nils,Q726254,10935,The Wonderful Adventures of Nils,
Elusive Isabel,Q5367959,10943,Elusive Isabel,
The Ghost Pirates,Q16200573,10966,The Ghost Pirates,
The Grizzly King,Q3486765,10977,The Grizzly King\•A Romance of the Wild,
Max Havelaar,Q919067,11024,Max Havelaar\•Of de koffiveilingen der Nederlandsche Handelsmaatschappy,
Incidents in the Life of a Slave Girl,Q6014663,11030,Incidents in the Life of a Slave Girl\•Written by Herself,
Eugénie Grandet,Q1373644,11049,Eugénie Grandet,
The Cruise of the Dazzler,Q17986750,11051,The Cruise of the Dazzler,
The Custom of the Country,Q7728505,11052,The Custom of the Country,
The Spirit of the Age,Q7765949,11068,"The Spirit of the Age; Or, Contemporary Portraits",
The Case of Jennie Brice,Q7721500,11127,The Case of Jennie Brice,
The Purple Cloud,Q368566,11229,The Purple Cloud,
"Bartleby, the Scrivener",Q780407,11231,"Bartleby, the Scrivener: A Story of Wall-Street",
Claudius Bombarnac,Q1098300,11263,"The Adventures of a Special Correspondent Among the Various Races and Countries of Central Asia\•Being the Exploits and Experiences of Claudius Bombarnac of \""The Twentieth Century\""",
"Things as They Are; or, The Adventures of Caleb Williams",Q7784409,11323,"Caleb Williams; Or, Things as They Are",
The Refugees,Q5295444,11413,The Refugees\•A Tale of Two Continents,
Lais of Marie de France,Q2594423,11417,French Mediaeval Romances from the Lays of Marie de France,
Tales of Three Hemispheres,Q7679363,11440,Tales of Three Hemispheres,
An Englishman Looks at the World,Q4749912,11502,An Englishman Looks at the World\•Being a Series of Unrestrained Remarks upon Contemporary Matters,
Facing the Flag,Q221765,11556,Facing the Flag,
Inquiries into Human Faculty and Its Development,Q16911333,11562,Inquiries into Human Faculty and Its Development,
The Crater (novel),Q4865365,11573,"The Crater; Or, Vulcan's Peak: A Tale of the Pacific",
Doctor Ox,Q385511,11589,Le Docteur Ox,
My Brilliant Career,Q1249439,11620,My Brilliant Career,
Figures of Earth,Q5448084,11639,Figures of Earth: A Comedy of Appearances,
Love and Mr Lewisham,Q4271834,11640,Love and Mr. Lewisham,
At the Sign of the Reine Pédauque,Q1211706,11645,La rôtisserie de la Reine Pédauque,
The Food of the Gods and How It Came to Earth,Q1215802,11696,The Food of the Gods and How It Came to Earth,
The Swiss Family Robinson,Q665715,11703,The Swiss Family Robinson; or Adventures in a Desert Island,
The Velveteen Rabbit,Q168351,11757,The Velveteen Rabbit,
Les Chants de Maldoror,Q1213025,12005,Les Chants de Maldoror,
"Dick Sand, A Captain at Fifteen",Q472291,12051,Dick Sand: A Captain at Fifteen,
Three Tales (Flaubert),Q2126429,12065,Trois contes,
Death in Venice,Q828296,12108,Der Tod in Venedig,
Struwwelpeter,Q27912,12116,Struwwelpeter: Merry Stories and Funny Pictures,
The Sleeper Awakes,Q650949,12163,The Sleeper Awakes\•A Revised Edition of When the Sleeper Wakes,
A Roman Singer,Q4659257,12346,A Roman Singer,
Iola Leroy,Q6062406,12352,"Iola Leroy; Or, Shadows Uplifted",
The Travels of Marco Polo,Q654562,12410,The Travels of Marco Polo — Volume 2,
The Man Who Laughs,Q865211,12587,The Man Who Laughs\•A Romance of English History,
Robinson Crusoe,Q483034,12623,The Life and Adventures of Robinson Crusoe (1808),
Christine (book),Q3824441,12683,Christine,
The Tale of Peter Rabbit,Q580463,12702,The Tale of Peter Rabbit,
Helen with a High Hand,Q5703476,12779,Helen with the High Hand (2nd ed.),
Drapier's Letters,Q5305881,12784,"The Prose Works of Jonathan Swift, D.D. — Volume 06\•The Drapier's Letters",
From the Earth to the Moon,Q53592,12901,The Moon-Voyage,
The Phantom Ship,Q919581,12954,The Phantom Ship,
The Card,Q3520203,12986,"The Card, a Story of Adventure in the Five Towns",
Back to Methuselah,Q4839430,13084,Back to Methuselah: A Metabiological Pentateuch,
The Decameron,Q16438,13102,"The Decameron, Volume II",
The Firm of Girdlestone,Q4461047,13152,The Firm of Girdlestone,
A Short Biographical Dictionary of English Literature,Q4659461,13240,A Short Biographical Dictionary of English Literature,
The New Jerusalem (Chesterton book),Q7753644,13468,The New Jerusalem,
The Lottery Ticket,Q1304875,13527,"Ticket No. \""9672\""",
Past and Present (book),Q7142925,13534,Past and Present,
Une page d'amour,Q2409540,13695,A Love Episode,
Saracinesca,Q7421952,13757,Saracinesca,
The Last Book of Wonder,Q7745601,13821,Tales of Wonder,
Discourse on the Method,Q731224,13846,Discours de la méthode,
La Débâcle,Q2409203,13851,The Downfall,
La Reine Margot (novel),Q2020094,13856,La reine Margot - Tome I,
La Reine Margot (novel),Q2020094,13857,La reine Margot - Tome II,
Adolphe,Q1605244,13861,Adolphe,
The Practice of the Presence of God,Q7757999,13871,The Practice of the Presence of God the Best Rule of a Holy Life,
The Three Musketeers,Q140527,13951,Les trois mousquetaires,
The Hill of Dreams,Q1394147,13969,The Hill of Dreams,
Mr. Britling Sees It Through,Q12062136,14060,Mr. Britling Sees It Through,
The Lost Stradivarius,Q7748735,14107,The Lost Stradivarius,
Dictionary of Received Ideas,Q3026751,14156,Dictionnaire des idées reçues,
In Search of the Castaways,Q1213902,14163,Les enfants du capitaine Grant,
La Faute de l'Abbé Mouret,Q2610567,14200,Abbe Mouret's Transgression,
The Kybalion,Q664103,14209,The Kybalion\•A Study of The Hermetic Philosophy of Ancient Egypt and Greece,
The Helmet of Navarre,Q7739353,14219,The Helmet of Navarre,
The Tale of the Flopsy Bunnies,Q3062161,14220,The Tale of the Flopsy Bunnies,
Bracebridge Hall,Q4953226,14228,Bracebridge Hall,
The Magician (Maugham novel),Q972714,14257,The Magician,
Atlantida (novel),Q3202526,14301,Atlantida,
An Historical Relation of the Island Ceylon,Q4750019,14346,"An Historical Relation of the Island Ceylon in the East Indies\•Together with an Account of the Detaining in Captivity the Author\•and Divers other Englishmen Now Living There, and of the Author's\•Miraculous Escape",
The Emperor of Portugallia,Q495166,14356,The Emperor of Portugallia,
The Worst Journey in the World,Q385926,14363,The Worst Journey in the World\•Antarctic 1910-1913,
His Family,Q5771986,14396,His Family,
The Tale of Benjamin Bunny,Q591892,14407,The Tale of Benjamin Bunny,
Esther (novel),Q5401132,14409,Esther,
Darwinism (book),Q5226079,14558,"Darwinism (1889)\•An exposition of the theory of natural selection, with some of its applications",
Simon Called Peter,Q7518400,14579,Simon Called Peter,
Doktor Faust und Mephisto,Q16201199,14591,Faust,
A Daughter of the Snows,Q339852,14654,A Daughter of the Snows,
Dorothy Vernon of Haddon Hall,Q5298663,14671,Dorothy Vernon of Haddon Hall,
The Tale of Timmy Tiptoes,Q6623073,14797,The Tale of Timmy Tiptoes,
The Tale of Jemima Puddle-Duck,Q3079758,14814,The Tale of Jemima Puddle-Duck,
Varney the Vampire,Q1987925,14833,"Varney the Vampire; Or, the Feast of Blood",
The Tale of Tom Kitten,Q4263682,14837,The Tale of Tom Kitten,
The Tale of Peter Rabbit,Q580463,14838,The Tale of Peter Rabbit,
The Story of Miss Moppet,Q4272115,14848,The Story of Miss Moppet,
The Tailor of Gloucester,Q4386569,14868,The Tailor of Gloucester,
The Tale of Squirrel Nutkin,Q4272152,14872,The Tale of Squirrel Nutkin,
The Tale of Ginger and Pickles,Q4272367,14877,The Tale of Ginger and Pickles,
The Inheritors (Joseph Conrad and Ford Madox Ford),Q7742035,14888,The Inheritors,
Tusculanae Disputationes,Q1233156,14988,"Cicero's Tusculan Disputations\•Also, Treatises On The Nature Of The Gods, And On The Commonwealth",
Tell England,Q7697394,15033,Tell England\•A Study in a Generation,
The Cathedral (novel),Q7721712,15067,The Cathedral,
The Tale of Mr. Jeremy Fisher,Q4272137,15077,The Tale of Mr. Jeremy Fisher,
The Hoosier Schoolmaster (novel),Q7740231,15099,The Hoosier Schoolmaster: A Story of Backwoods Life in Indiana,
The Tale of Mrs. Tiggy-Winkle,Q6625462,15137,The Tale of Mrs. Tiggy-Winkle,
The Lottery Ticket,Q1304875,15203,Un billet de loterie\•(Le numéro 9672),
The Tale of the Pie and the Patty-Pan,Q4264077,15234,The Tale of the Pie and the Patty Pan,
The Underground Railroad (book),Q7771382,15263,"The Underground Railroad\•A Record of Facts, Authentic Narratives, Letters, &c., Narrating the Hardships, Hair-Breadth Escapes and Death Struggles of the Slaves in Their Efforts for Freedom, As Related by Themselves and Others, or Witnessed by the Author.",
The Tale of Johnny Town-Mouse,Q6621583,15284,The Tale of Johnny Town-Mouse,
A Country Doctor (novel),Q17108195,15294,A Country Doctor and Selected Stories and Sketches,
The Influence of a Book,Q7741995,15305,L'influence d'un livre\•Roman historique,
The Interesting Narrative of the Life of Olaudah Equiano,Q7742270,15399,"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African\•Written By Himself",
Three Lives,Q7797597,15408,"Three Lives\•Stories of The Good Anna, Melanctha and The Gentle Lena",
The Primrose Ring,Q16254272,15482,The Primrose Ring,
A Doll's House,Q669694,15492,A Doll's House,
The Lancashire Witches,Q7745322,15493,The Lancashire Witches\•A Romance of Pendle Forest,
The Tale of Samuel Whiskers or The Roly-Poly Pudding,Q2068209,15575,"The Tale of Samuel Whiskers\•Or, The Roly-Poly Pudding",
Les aventures de M. Colin-Tampon,Q6530121,15593,Les aventures de M. Colin-Tampon,
The Day of the Beast (novel),Q7729207,15673,The Day of the Beast,
The Economic Consequences of the Peace,Q2299605,15776,The Economic Consequences of the Peace,
The Battle of Maldon,Q1700507,15879,"Elene; Judith; Athelstan, or the Fight at Brunanburh; Byrhtnoth, or the Fight at Maldon; and the Dream of the Rood\•Anglo-Saxon Poems",
L'Œuvre,Q1446938,15900,His Masterpiece,
An Englishwoman's Love-letters,Q4749916,15941,An Englishwoman's Love-Letters,
Puck of Pook's Hill,Q4342308,15976,Puck of Pook's Hill,
The Wonder Book of Bible Stories,Q7775612,16042,The Wonder Book of Bible Stories,
Occult Chemistry,Q2017299,16058,Occult Chemistry\•Clairvoyant Observations on the Chemical Elements,
The Psychology of Management,Q7758665,16256,"The Psychology of Management\•The Function of the Mind in Determining, Teaching and Installing Methods of Least Waste",
The Enchanted April,Q18187988,16389,The Enchanted April,
Around the Moon,Q1327411,16457,All Around the Moon,
Idle Thoughts of an Idle Fellow,Q997511,16507,"Lazy Thoughts of a Lazy Girl\•Sister of that \""Idle Fellow.\""",
Liza of Lambeth,Q1866618,16517,Liza of Lambeth,
The History of the Decline and Fall of the Roman Empire,Q313030,16575,An Inquiry into the Permanent Causes of the Decline and Fall of Powerful and Wealthy Nations.\•Designed To Shew How The Prosperity Of The British Empire\•May Be Prolonged,
Beyond the Rocks,Q3881939,16692,Beyond The Rocks: A Love Story,
Aunt Phillis's Cabin,Q4821989,16741,"Aunt Phillis's Cabin; Or, Southern Life As It Is",
Orthodoxy (book),Q3486423,16769,Orthodoxy,
An Eye for an Eye (novel),Q4750003,16804,An Eye for an Eye,
Gurre kamilaroi,Q5620278,16811,"Gurre Kamilaroi,\•or, Kamilaroi Sayings (1856)",
The Autumn of the Middle Ages,Q2599259,16829,Herfsttij der Middeleeuwen\•Studie over levens- en gedachtervormen der veertiende en vijftiende eeuw in Frankrijk en de Nederlanden,
Au Bonheur des Dames,Q1170032,16852,Au bonheur des dames,
The Tale of Mrs. Tittlemouse,Q3275331,17089,The Tale of Mrs. Tittlemouse,
Gulliver's Travels,Q181488,17157,Gulliver's Travels into Several Remote Regions of the World,
Max and Moritz,Q316894,17161,Max und Moritz: Eine Bubengeschichte in sieben Streichen,
Marianela (novel),Q6762098,17340,Marianela,
The Secret Garden,Q472194,17396,The Secret Garden,
Amadis de Gaula,Q452075,17440,Amadigi di Gaula\•Amadis of Gaul,
Lorna Doone,Q3400981,17460,Lorna Doone: A Romance of Exmoor,
When Knighthood Was in Flower (novel),Q2708153,17498,"When Knighthood Was in Flower\•or, the Love Story of Charles Brandon and Mary Tudor the King's Sister, and Happening in the Reign of His August Majesty King Henry the Eighth",
Certain Personal Matters,Q16385254,17508,Certain Personal Matters,
L'Argent,Q607232,17516,L'Argent,
L'Œuvre,Q1446938,17517,L'Œuvre,
Le Rêve (novel),Q741570,17533,Le Rêve,
La Curée,Q962265,17553,La Curée,
Son Excellence Eugène Rougon,Q1754235,17557,Son Excellence Eugène Rougon,
Romance (novel),Q7362392,17642,Romance,
The Archipelago on Fire,Q1192245,17660,L'archipel en feu,
Diego Collado's Grammar of the Japanese Language,Q2864355,17713,Ars grammaticae Iaponicae linguae,
The Nigger of the 'Narcissus',Q478537,17731,"The Nigger Of The \""Narcissus\"": A Tale Of The Forecastle",
The House by the Churchyard,Q4165605,17769,The House by the Church-Yard,
The Fur Country,Q1169463,17796,Le pays des fourrures,
La Débâcle,Q2409203,17831,La Débâcle,
The Sport of the Gods,Q7766020,17854,The Sport of the Gods,
Phineas Finn,Q7186349,18000,Phineas Finn\•The Irish Member,
Le Chevalier de Maison-Rouge,Q2334970,18006,Le Chevalier de Maison-Rouge,
Little Fuzzy,Q3233220,18137,Little Fuzzy,
Rip Foster Rides the Gray Planet,Q15033475,18139,Rip Foster in Ride the Gray Planet,
The Last Man,Q2323961,18247,The Last Man,
Georges (novel),Q3017080,18271,Georges,
Operation: Outer Space,Q7096715,18361,Operation: Outer Space,
The Autobiography of Benjamin Franklin,Q7714957,18455,"Vie de Franklin, écrite par lui-même - Tome I\•Suivie de ses œuvres morales, politiques et littéraires",
Six Characters in Search of an Author,Q641651,18457,Sei personaggi in cerca d'autore,
Arthur Mervyn,Q4799713,18508,"Arthur Mervyn; Or, Memoirs of the Year 1793",
"The Fourth \""R\""",Q7735055,18602,"The Fourth \""R\""",
Phineas Redux,Q7186370,18640,Phineas Redux,
Undine (novella),Q664813,18752,Undine,
John Gabriel Borkman,Q289117,18792,John Gabriel Borkman,
Alec Forbes of Howglen,Q4714138,18810,Alec Forbes of Howglen,
Journey to the Center of the Earth,Q219457,18857,A Journey to the Centre of the Earth,
The Four Feathers,Q1248698,18883,The Four Feathers,
Dot and the Kangaroo,Q4355403,18891,Dot and the Kangaroo,
Prose Edda,Q205882,18947,"The Younger Edda; Also called Snorre's Edda, or The Prose Edda",
Zadig,Q140057,18972,"Zadig\•Or, The Book of Fate",
Edison's Conquest of Mars,Q5191798,19141,Edison's Conquest of Mars,
"With Lee in Virginia, A Story of the American Civil War",Q8028004,19154,With Lee in Virginia: A Story of the American Civil War,
The Protocols of the Elders of Zion,Q26193,19200,The History of a Lie\•'The Protocols of the Wise Men of Zion',
Anticipations,Q16152606,19229,Anticipations\•Of the Reaction of Mechanical and Scientific Progress upon Human life and Thought,
A Book of Prefaces,Q4655574,19355,A Book of Prefaces,
Morals and Dogma of the Ancient and Accepted Scottish Rite of Freemasonry,Q2076228,19447,Morals and Dogma of the Ancient and Accepted Scottish Rite of Freemasonry,
Can You Forgive Her?,Q5029115,19500,Can You Forgive Her?,
Man of Many Minds,Q6746397,19660,Man of Many Minds,
Apologia Pro Vita Sua,Q2743363,19690,Apologia pro Vita Sua,
Debit and Credit,Q2298931,19754,Debit and Credit\•Translated from the German of Gustav Freytag,
The Tale of Mr. Tod,Q4263059,19805,The Tale of Mr. Tod,
The Rise and Fall of the Confederate Government,Q7760876,19831,The Rise and Fall of the Confederate Government,
Candide,Q215894,19942,Candide,
The Napoleon of Notting Hill,Q3792823,20058,The Napoleon of Notting Hill,
Rip Foster Rides the Gray Planet,Q15033475,20147,Rip Foster Rides the Gray Planet,
John Gabriel Borkman,Q289117,20178,John Gabriel Borkman,
Ship of Fools (satire),Q1169954,20179,"The Ship of Fools, Volume 1",
The Autobiography of Benjamin Franklin,Q7714957,20203,Autobiography of Benjamin Franklin,
De architectura,Q1232238,20239,The Ten Books on Architecture,
A Political Romance,Q4658949,20257,A Political Romance,
A Short Account of the Destruction of the Indies,Q2924760,20321,"A Brief Account of the Destruction of the Indies\•Or, a faithful NARRATIVE OF THE Horrid and Unexampled Massacres, Butcheries, and all manner of Cruelties, that Hell and Malice could invent, committed by the Popish Spanish Party on the inhabitants of West-India, TOGETHER With the Devastations of several Kingdoms in America by Fire and Sword, for the space of Forty and Two Years, from the time of its first Discovery by them.",
The Two Admirals,Q21012425,20475,The Two Admirals,
The Magic City (novel),Q16386839,20606,The Magic City,
Saint Ronan's Well,Q3232270,20749,St. Ronan's Well,
Heidi,Q271697,20781,Heidi\•(Gift Edition),
Triplanetary (novel),Q7843311,20782,Triplanetary,
The Skylark of Space,Q3208037,20869,The Skylark of Space,
The Status Civilization,Q3772163,20919,The Status Civilization,
Around the World in Seventy-Two Days,Q4795656,20975,Nellie Bly's Book\•Around the World in Seventy-Two Days,
The Skylark of Space,Q3208037,21051,Skylark Three,
Diego Collado's Grammar of the Japanese Language,Q2864355,21197,Diego Collado's Grammar of the Japanese Language,
The Clayhanger Family,Q2503198,21249,Clayhanger,
The Isle of Pines,Q7742731,21410,The Isle Of Pines (1668)\•and An Essay in Bibliography by Worthington Chauncey Ford,
"Masterman Ready, or the Wreck of the Pacific",Q6785376,21552,"Masterman Ready: The Wreck of the \""Pacific\""",
Mr Midshipman Easy,Q1936382,21553,Mr. Midshipman Easy,
The Tragedy of the Korosko,Q3824668,21768,"A Desert Drama: Being The Tragedy Of The \""Korosko\""",
The Confidence-Man,Q3820043,21816,The Confidence-Man: His Masquerade,
Doctor Wortle's School,Q5287476,21847,Dr. Wortle's School,
The Scarlet Plague,Q2634129,21970,The Scarlet Plague,
Kept in the Dark,Q6393254,22000,Kept in the Dark,
A Simple Story (novel),Q4659531,22002,A Simple Story,
The Autobiography of Benjamin Franklin,Q7714957,22016,"Vie de Benjamin Franklin, écrite par lui-même - Tome II\•suivie de ses œuvres morales, politiques et littéraires",
The Lure of the Mask,Q19885281,22158,The Lure of the Mask,
The Flight of Pony Baker,Q7734436,22219,The Flight of Pony Baker\•A Boy's Town Story,
Heart of the World (novel),Q16385971,22454,Heart of the World,
To Whom This May Come,Q7811172,22704,To Whom This May Come\•1898,
The Nebuly Coat,Q7753341,22943,The Nebuly Coat,
Orley Farm (novel),Q16962094,23000,Orley Farm,
Aucassin and Nicolette,Q758575,23227,Aucassin and Nicolette\•translated from the Old French,
Tonio Kröger,Q692988,23313,Tonio Kröger,
Cecily Parsley's Nursery Rhymes,Q5056525,23350,Cecily Parsley's Nursery Rhymes,
Godfrey Morgan,Q1216126,23489,Godfrey Morgan: A Californian Mystery,
The Decameron,Q16438,23700,The Decameron of Giovanni Boccaccio,
The Lost Girl,Q3823831,23727,The Lost Girl,
The Peony Pavilion,Q1196332,23849,牡丹亭,
The Story of the Western Wing,Q58765,23906,西廂記,
The Scholars (novel),Q1218689,24032,儒林外史,
The Pirates of Zan,Q18393643,24035,The Pirates of Ersatz,
Cousin Henry,Q5178818,24103,Cousin Henry,
The Settlers in Canada,Q7763415,24211,The Settlers in Canada,
The Birds' Christmas Carol,Q7718084,24286,The Birds' Christmas Carol,
The Gentle Art of Making Enemies,Q1217875,24650,The Gentle Art of Making Enemies,
Arsène Lupin vs. Herlock Sholmes,Q2864487,24839,The Blonde Lady\•Being a Record of the Duel of Wits between Arsène Lupin and the English Detective,
The Adventures of Danny Meadow Mouse,Q7712520,25301,The Adventures of Danny Meadow Mouse,
Fanny Hill,Q1395765,25305,"Memoirs Of Fanny Hill\•A New and Genuine Edition from the Original Text (London, 1749)",
The Innocents (novel),Q7742117,25430,The Innocents: A Story for Lovers,
Armageddon 2419 A.D.,Q676538,25438,The Airlords of Han,
The Job (novel),Q7743319,25474,The Job: An American Novel,
The House with the Green Shutters,Q7740720,25876,The House with the Green Shutters,
All the Brothers Were Valiant (novel),Q4730108,25885,All the Brothers Were Valiant,
The Bronze Eagle,Q7720311,25955,The Bronze Eagle: A Story of the Hundred Days,
Constitution of the Athenians,Q382282,26095,The Athenian Constitution,
The Age of Innocence,Q1045464,26458,Age of Innocence,
The Jucklins,Q7743737,26499,The Jucklins: A Novel,
The Vicar of Bullhampton,Q7772505,26541,The Vicar of Bullhampton,
The Road to Oz,Q1250364,26624,The Road to Oz,
Les lauriers sont coupés,Q17108976,26648,Les lauriers sont coupés,
Free Air,Q5499735,26732,Free Air,
Anti-Justine,Q3202134,26804,"L'Anti-Justine; ou, Les Delices de l'amour",
Tom Brown at Oxford,Q7815103,26851,Tom Brown at Oxford,
The Fixed Period,Q7734312,27067,The Fixed Period,
Starman's Quest,Q7602114,27444,Starman's Quest,
Sir Harry Hotspur of Humblethwaite,Q7527051,27712,Sir Harry Hotspur of Humblethwaite,
The Wind in the Willows,Q936276,27805,The Wind in the Willows,
Kama Sutra,Q47228,27827,"The Kama Sutra of Vatsyayana\•Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks",
Niels Klim's Underground Travels,Q2485789,27884,Niels Klim's journey under the ground\•being a narrative of his wonderful descent to the subterranean lands; together with an account of the sensible animals and trees inhabiting the planet Nazar and the firmament.,
David and the Phoenix,Q5241444,27922,David and the Phoenix,
The Brothers Karamazov,Q183157,28054,The Brothers Karamazov,
Beyond the Pleasure Principle,Q466271,28220,Jenseits des Lustprinzips,
"Recollections of a Tour Made in Scotland, A. D. 1803",Q7302690,28880,Recollections of a Tour Made in Scotland A.D. 1803,
The Rainbow,Q3288936,28948,The Rainbow,
The Macdermots of Ballycloran,Q7749272,29000,The Macdermots of Ballycloran,
The Book of Khalid,Q7719249,29257,The Book of Khalid,
My Father's Dragon,Q11291108,30017,My Father's Dragon,
The Passionate Friends: A Novel,Q7756281,30340,The Passionate Friends,
Roxana: The Fortunate Mistress,Q3825485,30344,The Fortunate Mistress (Parts 1 and 2)\•or a History of the Life of Mademoiselle de Beleau Known by the Name of the Lady Roxana,
My Secret Life (memoir),Q6946361,30360,"My Secret Life, Volumes I. to III.\•1888 Edition",
Letters from My Windmill,Q180471,30442,Letters from my Windmill,
The Royal Book of Oz,Q7761670,30537,The Royal Book of Oz\•In which the Scarecrow goes to search for his family tree and discovers that he is the Long Lost Emperor of the Silver Island,
New Worlds for Old (H. G. Wells),Q7012633,30538,New Worlds For Old: A Plain Account of Modern Socialism,
The Tin Woodman of Oz,Q7769442,30852,"The Tin Woodman of Oz\•A Faithful Story of the Astonishing Adventure Undertaken\•by the Tin Woodman, assisted by Woot the Wanderer, the\•Scarecrow of Oz, and Polychrome, the Rainbow's Daughter",
The Wife of Sir Isaac Harman,Q5051282,30855,The Wife of Sir Isaac Harman,
The Angel of the Revolution,Q7713775,31324,The Angel of the Revolution: A Tale of the Coming Terror,
The Shunned House,Q3210430,31469,The Shunned House,
"The \""Genius\"" (novel)",Q4593382,31824,"The \""Genius\""",
The Big Time,Q3209683,32256,The Big Time,
Armageddon 2419 A.D.,Q676538,32530,Armageddon—2419 A.D.,
Triplanetary (novel),Q7843311,32706,Triplanetary,
Cottage Economy,Q16952105,32863,"Cottage Economy, to Which is Added The Poor Man's Friend",
Trilby (novel),Q1691967,32887,Trilbyana: The Rise and Progress of a Popular Novel,
Windyridge,Q19902842,33043,Windyridge,
Calculus Made Easy,Q5018893,33283,Calculus Made Easy\•Being a very-simplest introduction to those beautiful methods which are generally called by the terrifying names of the Differential Calculus and the Integral Calculus,
The Pencil of Nature,Q472085,33447,The Pencil of Nature,
Ayala's Angel,Q4830860,33500,Ayala's Angel,
The Return of Tharn,Q7760432,33529,The Return of Tharn,
The Wonderful Visit,Q730105,33913,The Wonderful Visit,
How to Observe Morals and Manners,Q5918707,33944,How to Observe: Morals and Manners,
The Celestial Omnibus,Q7721831,34089,The Celestial Omnibus and other Stories,
Storm of Steel,Q1660671,34099,"In Stahlgewittern, aus dem Tagebuch eines Stoßtruppführers",
Rural Rides,Q1768444,34238,Rural Rides,
Geisha in Rivalry,Q5530223,34636,腕くらべ,
The Confusions of Young Törless,Q1112285,34717,Die Verwirrungen des Zöglings Törleß,
Consequences (novel),Q5162888,34935,Consequences,
Khaled: A Tale of Arabia,Q16386542,34959,"Khaled, A Tale of Arabia",
Boon (novel),Q16239161,34962,"Boon, The Mind of the Race, The Wild Asses of the Devil, and The Last Trump;\•Being a First Selection from the Literary Remains of George Boon, Appropriate to the Times",
Lord Tony's Wife,Q16160725,35117,Lord Tony's Wife: An Adventure of the Scarlet Pimpernel,
Marriage (novel),Q5051272,35338,Marriage,
The Headless Horseman (novel),Q2657678,35587,The Headless Horseman: A Strange Tale of Texas,
The Elements of Style,Q3010059,37134,The Elements of Style,
How We Think,Q5918221,37423,How We Think,
Bungay Castle (novel),Q4997629,37533,Bungay Castle: A Novel. v. 1/2,
The House of the Dead (novel),Q1161171,37536,"The House of the Dead; or, Prison Life in Siberia\•with an introduction by Julius Bramont",
Wild Wales,Q8000838,37665,"Wild Wales: The People, Language, & Scenery",
"Human, All Too Human",Q1364539,37841,"Human, All-Too-Human: A Book For Free Spirits; Part II",
"Human, All Too Human",Q1364539,38145,"Human, All Too Human: A Book for Free Spirits",
Kipps,Q1249082,39162,Kipps\•The Story of a Simple Soul,
One of Cleopatra's Nights and Other Fantastic Romances,Q17041628,39397,One of Cleopatra's Nights and Other Fantastic Romances,
After the divorce,Q4690699,39834,After the Divorce\•A Romance,
Trilby (novel),Q1691967,39858,Trilby,
Arsène Lupin vs. Herlock Sholmes,Q2864487,40203,Arsène Lupin versus Herlock Sholmes,
Regiment of Women,Q7308395,40264,Regiment of Women,
Anarchy (book),Q4751676,40365,Anarchy,
The Complete Opera Book,Q3520368,40540,"The Complete Opera Book\•The Stories of the Operas, together with 400 of the Leading Airs and Motives in Musical Notation",
Clara Vaughan,Q5126057,41020,"Clara Vaughan, Volume I (of III)","See also {41021}, {41022}"
Clara Vaughan,Q5126057,41021,"Clara Vaughan, Volume II (of III)","See also {41020}, {41022}"
Clara Vaughan,Q5126057,41022,"Clara Vaughan, Volume III (of III)","See also {41020}, {41021}"
La Vita Nuova,Q18084,41085,The New Life (La Vita Nuova),
Frankenstein,Q150827,41445,"Frankenstein; Or, The Modern Prometheus",
The Forgotten Planet,Q7734835,41637,The Forgotten Planet,
The Jewels of Aptor,Q7743200,41981,The Jewels of Aptor,
Frankenstein,Q150827,42324,"Frankenstein; Or, The Modern Prometheus",
Dariel,Q16257305,42529,Dariel: A Romance of Surrey,
Pride and Prejudice,Q170583,42671,Pride and Prejudice,
Bannertail,Q4856964,42827,Bannertail\•The Story of a Graysquirrel,
After the divorce,Q4690699,43226,Dopo il divorzio,
Cripps the Carrier,Q5185850,43281,"Cripps, the Carrier: A Woodland Tale",
A Counterfeit Presentment,Q4656134,43469,A Counterfeit Presentment and The Parlour Car,
The Wonderful Wizard of Oz,Q130295,43936,The Wonderful Wizard of Oz,
