Wikidata label,wikidata ID,Project Gutenberg ID,Project Gutenberg title,
More New Arabian Nights: The Dynamiter,Q3222487,647,The Dynamiter,
Wild Wales,Q8000838,648,"Wild Wales: Its People, Language and Scenery",
Pictures from Italy,Q3148901,650,Pictures from Italy,
The Chimes,Q3828573,653,The Chimes\•A Goblin Story of Some Bells That Rang an Old Year out and a New Year In,
American Notes,Q3614013,675,American Notes,
The Battle of Life,Q2054880,676,?,
The Cricket on the Hearth,Q825220,678,The Cricket on the Hearth: A Fairy Tale of Home,
A Personal Record,Q16514368,687,A Personal Record,
The Kreutzer Sonata,Q1214091,689,The Kreutzer Sonata and Other Stories,
The Castle of Otranto,Q548576,696,The Castle of Otranto,
A Child's History of England,Q2032353,699,A Child's History of England,
The Old Curiosity Shop,Q2700616,700,The Old Curiosity Shop,
The Amateur Cracksman,Q7713285,706,The Amateur Cracksman,
The Black Mask,Q7718381,707,Raffles: Further Adventures of the Amateur Cracksman,
Tono-Bungay,Q1535422,718,Tono-Bungay,
Almayer's Folly,Q2404359,720,Almayer's Folly: A Story of an Eastern River,
Oliver Twist,Q164974,730,Oliver Twist,
The Story of Mankind,Q13802568,754,The Story of Mankind,
The Moon Pool,Q7752160,765,The Moon Pool,
Agnes Grey,Q517172,767,Agnes Grey,
Wuthering Heights,Q202975,768,Wuthering Heights,
The Book of Tea,Q7719311,769,The Book of Tea,
The Story of the Treasure Seekers,Q7766848,770,The Story of the Treasure Seekers\•Being the Adventures of the Bastable Children in Search of a Fortune,
Lord Arthur Savile's Crime and Other Stories,Q1810331,773,"Lord Arthur Savile's Crime; The Portrait of Mr. W.H., and Other Stories",
The Sleeper Awakes,Q650949,775,When the Sleeper Wakes,
Five Children and It,Q651866,778,?,
Doktor Faust und Mephisto,Q16201199,779,The Tragical History of Doctor Faustus\•From the Quarto of 1604,
The War in the Air,Q964055,780,The War in the Air,
Hard Times,Q1340493,786,Hard Times,
Lady Windermere's Fan,Q1469224,790,?,
Wieland (novel),Q7998930,792,"Wieland; Or, The Transformation: An American Tale",
